Index,Rank,Lifter,Username,Userid,Text_colour,Unknown0,Unknown1,Fed,Date,Country,State,unknown3,Sex,Equip,Age,Entry,Class,Weight,Squat,Bench,Deadlift,Total,Dots
0,1,Kristy Hawkins,kristyhawkins,kristy_hawkins,green,USA,USA-CA,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,F,Wraps,43,Open,74,75,310,152.5,262.5,725,711.19
1,2,Marianna Gasparyan,mariannagasparyan,power_mayan,null,USA,null,WRPF,2019-04-27,USA,CA,wrpf-usa/1902,F,Wraps,30,Open,56,56,260,132.5,220,612.5,709.96
2,3,Hunter Henderson #1,hunterhenderson1,huntermhenderson,null,USA,USA-MO,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,F,Wraps,26,Open,74.3,75,295,147.5,260,702.5,687.63
3,4,Chakera Ingram,chakeraingram,c.c_ingram,null,USA,null,USPA,2019-08-03,USA,TX,uspa/1539,F,Wraps,24,Open,80.4,82.5,290,170,270,730,686.14
4,5,Stefanie Cohen,stefaniecohen,steficohen,bold red,USA,null,WRPF,2019-04-27,USA,CA,wrpf-usa/1902,F,Wraps,27,Open,54.4,56,230,110,240,580,685.45
5,6,Denise Herber,deniseherber,deniseherber_,null,Germany,null,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,F,Wraps,33,Pro FW-O,72.4,75,255,142.5,291.5,689,683.64
6,7,Samantha Rice,samantharice,quadslikemom,null,USA,null,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,F,Wraps,33,Open,82.4,82.5,280,157.5,291,728.5,676.54
7,8,Stacy Burr,stacyburr,bamaburr,null,USA,null,XPC,2019-03-02,USA,OH,xpc/1901,F,Wraps,27,Pro,66.9,67.5,256.2,145.1,249.4,650.9,675.19
8,9,Chleo Van Wyk,chleovanwyk,chleo_v_wyk,null,Australia,null,USPA,2019-08-03,USA,TX,uspa/1539,F,Wraps,28,Open,78.6,82.5,280,160,265,705,670.20
9,10,Colton Engelbrecht,coltonengelbrecht,col_powerlifting,null,South Africa,null,WPC-SA,2024-06-08,South Africa,null,wpc-sa/2407,M,Wraps,23,M_OCR_APF,109.8,110,440,245,435,1120,663.61
10,11,John Haack,johnhaack,bilbo_swaggins181,null,USA,USA-WI,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,M,Raw,31,Pro MR-O,93.4,100,365,252.5,426,1043.5,662.39
11,12,Sarah Rainbow,sarahrainbow,sarah_rainbow,null,Australia,null,WRPF-AUS,2024-03-23,Australia,TAS,wrpf-aus/2401,F,Wraps,28,S24-39,100.7,110,315,177.5,282.5,775,659.56
12,13,Ashley Garcia #1,ashleygarcia1,bad_ash5,null,USA,USA-TX,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,F,Wraps,39,Open,73.7,75,270,142.5,257.5,670,658.67
13,14,Yury Belkin,yurybelkin,belkin_one_power,null,Russia,null,USA-UA,2019-08-30,USA,CA,wrpf-usa/bob6,M,Wraps,28,Pro Open,100,100,416,235,415,1066,656.14
14,15,Brianny Terry,briannyterry,briannyt,null,USA,USA-NV,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,F,Wraps,27,Open,75,75,240,140,291,671,653.54
15,16,Chad Penson,chadpenson,kingpensonlifts,red_to_white,USA,USA-CA,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,M,Wraps,28,Open,88.5,90,400,232.5,365,997.5,650.53
16,17,Jaymi Morris,jaymimorris,jaymiijigsaw,null,Australia,null,ProRaw,2024-03-16,Australia,VIC,proraw/014,F,Wraps,30,F-OR,85.7,90,275,157.5,275,707.5,644.91
17,18,Eva Dunbar,evadunbar,evalaurabelle_ifbbpro,null,Canada,null,RPS,2018-03-10,USA,NC,rps/1810,F,Wraps,36,Pro Open,66.9,67.5,243.5,143,235,621.5,644.68
18,19,Brittany Bowles,brittanybowles,brittany_shack,null,USA,USA-NC,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,F,Wraps,34,Open,59.7,60,227.5,132.5,217.5,577.5,642.22
19,20,Jennessa Labbate,jennessalabbate,jennessaann,blue_to_green,USA,USA-CA,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,F,Wraps,26,Open,66.3,67.5,227.5,132.5,255.5,615.5,642.10
20,21,Keeta Crisp,keetacrisp,keetamaree,null,Australia,null,WRPF-AUS,2022-09-11,Australia,NSW,wrpf-aus/2205,F,Wraps,28,FR-O,74.9,75,262.5,140,255,657.5,640.84
21,22,Jeanine Whittaker,jeaninewhittaker,jwhitt206,null,USA,null,SPF,2017-04-22,USA,OH,spf/1716,F,Wraps,44,Open,81.8,82.5,276.6,140.6,263,680.3,633.99
22,23,Zahir Khudayarov,zahirkhudayarov,zahirkhudayarov,null,null,null,FPO,2015-09-26,Finland,null,fpo/1502,M,Wraps,32,Open,125,125,472.5,260,380,1112.5,630.52
23,24,Blake Lehew,blakelehew,deadliftingorangutan,null,USA,USA-TX,WRPF,2022-07-29,USA,VA,wrpf-usa/2224,M,Wraps,27,Open,82.4,82.5,330,215,385,930,630.41
24,25,Crystal Tate,crystaltate,ctate87,null,USA,null,XPC,2017-03-03,USA,OH,xpc/1701,F,Wraps,29,Pro HW,89,90,290.3,136,272.1,698.5,625.57
25,26,Derek Thistlethwaite,derekthistlethwaite,deathgrip.derek,null,USA,USA-TX,WRPF,2024-06-08,USA,TX,wrpf-usa/2486,M,Raw,24,Open,111.4,125,400,245,415,1060,624.85
26,27,Jamal Browner,jamalbrowner,jamal_b15,null,USA,USA-TX,USPA,2022-09-24,USA,MO,uspa/2022-163,M,Raw,27,Open,109.4,110,370,227.5,455,1052.5,624.65
27,28,Andrew Hause,andrewhause,daspowerhause,null,USA,USA-NC,WRPF,2022-07-29,USA,VA,wrpf-usa/2224,M,Wraps,24,Open,131,140,460,247.5,410,1117.5,624.30
28,29,Jen Hazzard,jenhazzard,boones_mom,null,USA,null,IPA,2023-04-22,USA,NY,ipa/2307,F,Wraps,37,Pro Open,57.1,60,195.9,108.8,240.4,545.2,623.58
29,30,Naomi Sheppard,naomisheppard,naomi.phoenixperformance,null,England,null,WRPF,2022-02-12,USA,FL,wrpf-usa/2203,F,Wraps,30,Open,66.9,67.5,262.5,122.5,215,600,622.65
30,31,Raymond Phillips,raymondphillips,rayphillips1828,null,USA,USA-NJ,RPS,2024-01-27,USA,NJ,rps/2407,M,Raw,38,Pro Open,63.6,67.5,276.6,163.2,331.1,771.1,620.75
31,32,Kody Blazek,kodyblazek,deadliftingandstuff,null,USA,null,USPA,2019-08-03,USA,TX,uspa/1539,M,Wraps,33,Open,81.2,82.5,337.5,220,350,907.5,620.35
32,33,Jawon Garrison,jawongarrison,majin_avenger2.0,red,USA,USA-AL,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Raw,35,Open,82.5,82.5,353,230,332.5,915.5,620.15
33,34,Angelina Bennett,angelinabennett,captain.angelina,null,USA,USA-MD,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,F,Wraps,30,Open,55.6,56,202.5,122.5,205,530,617.26
34,35,Alisha Luna,alishaluna,a_l_u_n_a,null,USA,USA-CO,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,F,Wraps,29,Pro FW-O,51.5,52,190,102.5,210.5,503,617.25
35,36,Dave Richardson #1,daverichardson1,k18.dsr,null,England,null,Ireland-UA,2024-04-20,Ireland,null,ireland-ua/2402,M,Wraps,31,Clash Of Titans,123.6,,405,247.5,432.5,1085,617.14
36,37,Chantal Marais,chantalmarais,chantal_marais88,null,null,null,WRPF-AUS,2020-12-05,Australia,NSW,wrpf-aus/2004,F,Wraps,32,FR-O,74.3,75,280,120,230,630,616.67
37,38,Alana Hynes D\'Aquino,alanahynesdaquino,alana_hynes_daquino,null,Australia,null,ProRaw,2024-03-16,Australia,VIC,proraw/014,F,Wraps,23,F-OR,74.3,75,240,137.5,252.5,630,616.67
38,39,Maliek Derstine,maliekderstine,maliekderstine,null,USA,USA-TX,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,M,Wraps,32,Open,81.2,82.5,360,220,320,900,615.22
39,40,Austin Perkins #1,austinperkins1,the74kg,null,USA,USA-MS,USAPL,2023-09-14,USA,TN,usapl/NS-2023-03-K,M,Raw,23~,MR-O,74.2,75,313.5,200,337.5,851,614.54
40,41,April Mathis,aprilmathis,null,null,USA,null,APF,2017-04-01,USA,FL,apf/1701,F,Wraps,29,F_OCR_APF,125,90+,320,200,252.5,772.5,613.11
41,42,Chloe Lansing,chloelansing,chlo.mae.l,blue_to_lightblue,USA,USA-IA,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,F,Wraps,29,Open,66.8,67.5,232.5,110,247.5,590,612.80
42,43,Eric Lilliebridge,ericlilliebridge,ericlilliebridge,null,USA,null,UPA,2016-07-16,USA,IA,upa/1618,M,Wraps,26,MOR,139,140,477.5,250,387.5,1115,612.28
43,44,Agata Sitko,agatasitko,ja.gata_sitko,null,Poland,null,IPF,2024-02-10,UK,null,ipf/2401,F,Raw,21~,Open,68.9,,197.5,154,248.5,600,612.20
44,45,Boris Tsvetkov #1,boristsvetkov1,boris.strength,null,Bulgaria,null,Ireland-UA,2023-08-19,Ireland,null,ireland-ua/2300,M,Wraps,25,Male Pro,104.4,,400,232.5,380,1012.5,611.93
45,46,Rostislav Petkov,rostislavpetkov,ross_petkov,null,USA,USA-NV,WRPF,2021-04-24,USA,CA,wrpf-usa/2109,M,Wraps,32,Open,80.8,82.5,350,202.5,340,892.5,611.84
46,47,Jessica Hause,jessicahause,misspowerhause,purple_to_green,USA,USA-NC,SPF,2019-10-26,USA,VA,spf/1942,F,Wraps,30~,Open,57.6,60,231.3,108.8,197.3,537.5,611.56
47,48,Susan Salazar,susansalazar,supers2o,lightblue,USA,USA-TX,USPA,2017-04-15,USA,CA,uspa/0820,F,Wraps,41,Open,58.5,60,210,117.5,215,542.5,611.16
48,49,Lily Riley,lilyriley,null,null,Australia,null,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,F,Wraps,28,Pro FW-O,78.6,82.5,285,127.5,230,642.5,610.79
49,50,Sarah Lewis #1,sarahlewis1,sarah.lewis_,null,USA,USA-TN,USPA,2019-08-31,USA,TN,uspa/1562,F,Raw,33,Open,68.7,75,220,137.5,240,597.5,610.66
50,51,Patrick Morrison #1,patrickmorrison1,manletmorrison,null,Australia,null,WRPF-AUS,2023-10-28,Australia,NSW,wrpf-aus/2307,M,Wraps,33,Open,89.4,90,400.5,177.5,362.5,940.5,610.19
